agency,item,quantity,datereceived,totalcost
ABERDEEN TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,4/11/14,"$50,458.00 "
ABERDEEN TOWNSHIP POLICE DEPT,"CAMERA, STILL PICTURE",1,4/29/14,"$1,277.00 "
ABERDEEN TOWNSHIP POLICE DEPT,"CHEST,AMMUNITION",60,3/20/14,$666.00 
ABERDEEN TOWNSHIP POLICE DEPT,"GOGGLES,BALLISTIC",40,3/20/14,"$1,754.40 "
ABERDEEN TOWNSHIP POLICE DEPT,"PAD,ABSORBENT,HAZARDOUS  MATERIAL",10,3/30/14,$967.00 
ABERDEEN TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,12/18/13,"$56,762.00 "
ALLENHURST POLICE DEPT,"TRUCK,CARGO",1,8/1/14,"$72,040.00 "
ALLENHURST POLICE DEPT,"TRUCK,CARGO",1,8/1/14,"$72,040.00 "
ALLENHURST POLICE DEPT,"TRAILER,CARGO",1,7/29/14,"$8,524.00 "
ALLENHURST POLICE DEPT,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",5,7/29/14,"$32,055.00 "
ALLENHURST POLICE DEPT,"TRUCK,UTILITY",1,7/30/14,"$47,023.00 "
ALLENHURST POLICE DEPT,"TRAILER,CARGO",1,7/29/14,"$8,524.00 "
ALLENHURST POLICE DEPT,"TRAILER,CARGO",1,8/4/14,"$8,524.00 "
ALLENHURST POLICE DEPT,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,7/29/14,"$20,039.00 "
ALLENHURST POLICE DEPT,SLEEPING BAG,20,9/11/14,$946.00 
ALLENHURST POLICE DEPT,"TRUCK,DUMP",1,8/4/14,"$72,425.00 "
ALLENHURST POLICE DEPT,"TRUCK,DUMP",1,8/4/14,"$72,425.00 "
ALLENHURST POLICE DEPT,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",1,8/21/14,"$13,094.00 "
ALLENHURST POLICE DEPT,"TRUCK,LIFT,FORK",1,8/21/14,"$72,370.00 "
ALLENHURST POLICE DEPT,"TELEVISION, PERSONAL/HOME USE",3,8/25/14,"$2,697.00 "
ALLENHURST POLICE DEPT,"GENERATOR SET,DIESEL ENGINE",1,8/27/14,"$16,160.00 "
ALLENHURST POLICE DEPT,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
ALLENHURST POLICE DEPT,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
ALLENHURST POLICE DEPT,"TRUCK,UTILITY",1,9/1/14,"$41,061.00 "
ALLENHURST POLICE DEPT,TRUCK TRACTOR,1,8/27/14,"$166,223.00 "
ALLENHURST POLICE DEPT,"COMPRESSOR UNIT,ROTARY",1,8/27/14,"$5,553.18 "
ALLENHURST POLICE DEPT,"TRACTOR,WHEELED,INDUSTRIAL",1,9/17/14,"$110,000.00 "
ALLENHURST POLICE DEPT,"GENERATOR SET,DIESEL ENGINE",1,10/1/14,"$13,635.00 "
