agency,county,item,quantity,date_received,total_cost
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"DRILL,TWIST",5,9/11/14,$111.60 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,9/22/14,"$41,061.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,OVERHEAD PROJECTOR,1,9/22/14,$250.00 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"PROJECTOR, COMPUTER SCREEN",1,9/22/14,"$3,003.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",2,9/22/14,"$8,982.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,ELECTRONIC",1,9/22/14,"$1,411.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"COLD FOOD COUNTER,MECHANICALLY REFRIGERATED",1,9/22/14,"$2,730.07 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,CARPENTER'S",1,9/22/14,"$4,306.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,ELECTRICIAN'S",1,9/22/14,"$3,365.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,AIRCRAFT MECHANICS",1,9/22/14,"$1,019.21 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,MASON AND CONCRETE FINISHER'S",1,9/22/14,"$1,408.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,GENERAL MECHANIC'S",1,9/22/14,"$1,805.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,HEADLIGHT,8,9/22/14,"$2,307.92 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"WRENCH,RATCHET",1,9/11/14,$132.91 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"SCREWDRIVER,TORQUE",1,9/11/14,$87.77 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"SPILL CLEAN-UP KIT,HAZARDOUS MATERIAL",5,9/19/14,$325.50 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,PLIERS,1,9/22/14,$42.05 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,WRENCH,1,9/22/14,$154.00 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"CONVERSION KIT,5.56 MILLIMETER RIFLE",4,9/22/14,"$3,104.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,WRENCH KIT,1,9/11/14,$216.93 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,DIESEL ENGINE",1,9/22/14,$535.23 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,BARREL AND FRONT SIGHT ASSEMBLY,12,9/22/14,"$4,104.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,LARGE",40,9/22/14,"$2,232.80 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TRUCK,DUMP",1,9/26/14,"$175,923.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"BRUSH,CLEANING,SMALL  ARMS",50,9/22/14,$23.50 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"SCREWDRIVER,FLAT TIP",10,9/25/14,$26.00 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,CARPENTER'S",1,9/22/14,"$4,306.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,PLIERS,5,9/25/14,$63.90 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"RECEIVER-TRANSMITTER,RADIO",15,10/23/14,"$56,402.55 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,GENERAL MECHANIC'S",24,9/29/14,"$6,936.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,9/26/14,"$41,061.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TRUCK,LIFT,FORK",1,9/26/14,"$72,370.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"CLEANER,STEAM,PRESSURE  JET",1,10/2/14,"$5,699.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,BINOCULAR,4,9/30/14,$196.68 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR,HAND HELD",2,10/9/14,"$1,773.30 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"MAT,FLOOR",4,10/2/14,$309.64 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,DISK BRAKE SHOE,2,10/2/14,$13.22 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"DETECTING SET,MINE",1,10/2/14,"$5,657.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,GASOLINE ENGINE",2,10/2/14,"$3,022.50 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,CONTAINER FOR REFRI,1,10/10/14,"$19,547.36 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"CLEANING KIT,GUN",3,10/2/14,$174.00 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"TRACTOR,WHEELED,INDUSTRIAL",1,10/16/14,"$110,000.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"CHOCK,WHEEL-TRACK",4,10/10/14,$98.04 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"CHOCK,WHEEL-TRACK",4,10/10/14,$98.04 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"DRESSING,FIRST AID,FIELD",300,10/2/14,"$1,077.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,ELECTRIC",2,10/23/14,"$23,816.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"KIT,AIR CONDITIONER,MAK HMMWV",1,10/23/14,"$5,389.04 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"SPECTACLE KIT,INTERCHANGABLE COMPONENT EYESHIELD",40,10/10/14,"$2,094.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"HOSE AND TUBING, FLEXIBLE",12,10/10/14,"$2,100.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"HOSE AND TUBING, FLEXIBLE",9,10/10/14,"$2,475.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"HOSE  ASSEMBLY,NONMETALLIC",1,10/10/14,$269.47 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"HOSE, PIPE, TUBE, LUBE, RAIL FITTINGS",1,10/10/14,$275.00 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,ROTARY",1,10/16/14,"$8,327.07 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,PUBLIC ADDRESS SET,2,10/23/14,"$1,327.16 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"HOSE AND TUBING, FLEXIBLE",11,11/5/14,$0.00 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"WELDING MACHINE,ARC",1,11/10/14,"$33,915.00 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"KIT,AIR CONDITIONER,MAK HMMWV",1,11/12/14,"$5,389.04 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"CABLE  ASSEMBLY,POWER,ELECTRICAL",2,11/10/14,$653.08 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"VIEWER KIT,NIGHT VISION",2,11/5/14,"$5,229.60 "
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"MIRROR ASSEMBLY,REARVIEW",1,11/10/14,$107.48 
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR,HAND HELD",4,9/12/14,"$3,546.60 "
HI NELLA POLICE DEPT,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
HI NELLA POLICE DEPT,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
HIGHLANDS BOROUGH POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$50,458.00 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"TRUCK,CARGO",1,8/29/14,"$72,040.00 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"SHIPPING AND STORAGE CONTAINER,CARTRIDGE",42,8/29/14,$934.92 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",100,8/29/14,"$1,110.00 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"GRIP,PISTOL,LASER",10,9/25/14,"$2,797.60 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"BRUSH,CLEANING,SMALL  ARMS",144,9/25/14,$67.68 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"BRUSH,CLEANING,SMALL  ARMS",104,9/25/14,$84.24 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"VEST,COMBAT MEDICAL",83,9/26/14,"$30,214.49 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"POUCH,M4 THREE MAG",50,10/22/14,"$1,084.50 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,SLEEPING BAG,14,10/22/14,$922.04 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,SLEEPING BAG,15,10/22/14,$987.90 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"EXERCISE EQUIPMENT,",6,10/22/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"TOOL KIT,REPAIRMAN'S,SMALL ARMS",1,10/22/14,"$2,130.00 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,ASSAULT PACK,1,10/22/14,$77.34 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA, DIGITAL",1,10/22/14,$189.98 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA, DIGITAL",1,10/22/14,$179.99 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA, DIGITAL",1,10/22/14,$179.99 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"WEBBING,TEXTILE",550,10/9/14,$313.50 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"WEBBING,TEXTILE",56,10/8/14,$62.72 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"WEBBING,TEXTILE",42,10/8/14,$15.54 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"WEBBING,TEXTILE",138,10/8/14,$215.28 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"WEBBING,TEXTILE","1,208",10/8/14,$869.76 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"WEBBING,TEXTILE",997,10/8/14,"$1,196.40 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"WEBBING,TEXTILE",87,10/8/14,$101.79 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"GRIP,PISTOL,LASER",5,10/6/14,"$1,398.80 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,MODULAR SLEEP SYSTEM,20,10/22/14,"$5,261.00 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,ASSAULT PACK,25,10/22/14,"$1,933.50 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"MAT,SLEEPING,SELF-INFLATING",33,10/22/14,"$1,553.97 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"ADAPTER,BATTERY  TERMINAL",2,10/14/14,$377.66 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RUCKSACK LARGE FIELD PACK,51,10/22/14,"$4,251.36 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,4,10/22/14,"$1,345.32 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,4,10/22/14,"$1,345.32 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"GRIP,PISTOL,LASER",70,10/10/14,"$20,204.80 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"PACK,ASSAULT,MOLLE",11,10/22/14,$827.53 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,ASSAULT PACK,11,10/22/14,$850.74 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"CAP,KNIT",62,10/22/14,$252.96 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,TORQUEWRENCH,6,10/22/14,"$1,973.40 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"POUCH,INDIVIDUAL FIRST AID KIT",83,10/22/14,"$1,050.78 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"POUCH,INDIVIDUAL FIRST AID KIT",78,10/22/14,$987.48 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"POUCH,M4 THREE MAG",83,10/22/14,"$1,800.27 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"POUCH,FLASH BANG GRENADE",40,10/22/14,$210.40 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"POUCH,HAND GRENADE",83,10/22/14,$421.64 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",2,10/30/14,"$19,844.50 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,GYM,2,10/30/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"BICYCLE, EXERCISE",2,10/30/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,4,10/30/14,"$1,345.32 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,BINOCULARS,5,10/30/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"SPECTACLES,INDUSTRIAL",35,10/30/14,"$1,941.80 "
HOWELL TOWNSHIP POLICE DEPT,MONMOUTH,"SPECTACLE,COMBO PACK,UVEX GENESIS",35,10/30/14,"$1,436.40 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,11/26/13,"$41,061.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,11/26/13,"$41,061.00 "
JACKSON TWP POLICE DEPT,OCEAN,"CHAIR, UPHOLSTERED",50,11/26/13,"$2,500.00 "
JACKSON TWP POLICE DEPT,OCEAN,"MANIKIN,RESUSCITATION TRAINING",1,5/22/14,$820.65 
JACKSON TWP POLICE DEPT,OCEAN,"CAMERA SYSTEM,CCTV",1,5/22/14,$672.00 
JACKSON TWP POLICE DEPT,OCEAN,"LITTER,RIGID,STOKES",4,5/22/14,"$2,952.00 "
JACKSON TWP POLICE DEPT,OCEAN,FIELD PACK,10,5/22/14,"$2,288.90 "
JACKSON TWP POLICE DEPT,OCEAN,"OUTERWEAR, MEN'S",20,5/22/14,$380.00 
JACKSON TWP POLICE DEPT,OCEAN,"LAWN MOWER, RIDING",1,5/22/14,"$11,157.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRACTORS, WHEELED",1,5/22/14,"$22,506.00 "
JACKSON TWP POLICE DEPT,OCEAN,TRAINING AIDS,1,5/22/14,"$1,815.00 "
JACKSON TWP POLICE DEPT,OCEAN,"COT,FOLDING",15,5/22/14,"$1,470.15 "
JACKSON TWP POLICE DEPT,OCEAN,FLAT PANEL MONITOR,75,5/22/14,"$16,875.00 "
JACKSON TWP POLICE DEPT,OCEAN,"LADDER, SCAFFOLDING EQUIP, CONCRETE FORM",7,5/22/14,$525.00 
JACKSON TWP POLICE DEPT,OCEAN,"TRAILER,RECYCLING SYSTEM",1,5/22/14,"$7,500.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRAILER,RECYCLING SYSTEM",1,5/22/14,"$7,500.00 "
JACKSON TWP POLICE DEPT,OCEAN,"INTRENCHING TOOL,HAND",50,5/22/14,"$5,910.50 "
JACKSON TWP POLICE DEPT,OCEAN,WHEEL AND RUNFLAT,1,5/22/14,"$1,343.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,5/22/14,"$75,278.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,OCEAN,TRUCK TRACTOR,2,5/22/14,"$151,107.76 "
JACKSON TWP POLICE DEPT,OCEAN,"MEDICAL MATERIEL SET,PHYSICAL OCCUPATIONAL THERAPY-2005",1,5/22/14,"$73,565.89 "
JACKSON TWP POLICE DEPT,OCEAN,"MEDICAL MATERIEL SET,PHYSICAL-OCCUPATIONAL THERAPY,DEPLOYABLE MEDICAL S",1,5/22/14,"$37,296.73 "
JACKSON TWP POLICE DEPT,OCEAN,"MEDICAL MATERIEL SET,MINIMAL CARE WARD-2005",4,5/22/14,"$268,690.80 "
JACKSON TWP POLICE DEPT,OCEAN,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",1,8/5/14,"$6,868.79 "
JACKSON TWP POLICE DEPT,OCEAN,"COOLER,AIR,EVAPORATIVE",1,8/5/14,"$1,941.90 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,8/19/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,9/2/14,"$67,139.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,9/5/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,9/2/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,OCEAN,TENT,40,9/10/14,"$14,726.40 "
JACKSON TWP POLICE DEPT,OCEAN,"TENT,COMBAT,TWO MAN",30,9/2/14,"$10,983.60 "
JACKSON TWP POLICE DEPT,OCEAN,"GOGGLES,BALLISTIC",100,9/2/14,"$4,386.00 "
JACKSON TWP POLICE DEPT,OCEAN,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",2,9/10/14,"$26,188.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,LIFT,FORK",1,9/10/14,"$72,370.00 "
JACKSON TWP POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,9/10/14,"$10,700.00 "
JACKSON TWP POLICE DEPT,OCEAN,"GRADER,ROAD,MOTORIZED",1,9/17/14,"$67,724.00 "
JACKSON TWP POLICE DEPT,OCEAN,"POWER STRIP,ELECTRICAL OUTLET",100,9/24/14,"$8,900.00 "
JACKSON TWP POLICE DEPT,OCEAN,CONTAINER FOR REFRI,1,9/17/14,"$19,547.36 "
JACKSON TWP POLICE DEPT,OCEAN,"CHEST,AMMUNITION",168,10/17/14,"$1,864.80 "
JACKSON TWP POLICE DEPT,OCEAN,"SHIPPING AND STORAGE CONTAINER,CARTRIDGE",10,10/17/14,$300.00 
JACKSON TWP POLICE DEPT,OCEAN,"SIGHT,REFLEX",1,4/21/14,$340.00 
JACKSON TWP POLICE DEPT,OCEAN,"SIGHT,REFLEX",1,4/21/14,$340.00 
JACKSON TWP POLICE DEPT,OCEAN,"TELESCOPE,STRAIGHT",2,4/7/12,"$1,712.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,11/26/13,"$63,682.00 "
JACKSON TWP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,11/21/13,"$63,682.00 "
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
