agency,county,item,quantity,date_received,total_cost
AVALON POLICE DEPT,CAPE MAY,TRUCK TRACTOR,2,9/1/14,"$141,664.00 "
AVALON POLICE DEPT,CAPE MAY,TRAILER,1,9/3/14,"$818,208.00 "
AVALON POLICE DEPT,CAPE MAY,"TRUCK,VAN",1,9/10/14,"$135,122.00 "
AVALON POLICE DEPT,CAPE MAY,"TRUCK,VAN",1,9/11/14,"$135,122.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TRACTOR,FULL TRACKED,LOW  SPEED",1,2/15/14,"$72,325.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"COMPRESSOR  UNIT,RECIPROCATING",1,3/20/14,"$1,558.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"GLOVE,PATIENT EXAMINING",2,3/20/14,$35.64 
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TOOL KIT,ELECTRONIC SYSTEM",1,3/20/14,"$1,127.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TRACTOR,WHEELED,INDUSTRIAL",1,5/7/14,"$110,000.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,5/6/14,"$20,415.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TRUCK,CARGO",1,3/21/14,"$93,042.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"COMPRESSOR  UNIT,RECIPROCATING",1,3/20/14,"$1,072.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TOOL KIT,GENERAL MECHANIC'S",1,3/20/14,$569.00 
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,5/7/14,"$47,023.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"COVER,FITTED,VEHICULAR CAB",1,3/20/14,$728.16 
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,5/7/14,"$50,458.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,8/22/14,"$41,061.00 "
AVON BY THE SEA POLICE DEPT,MONMOUTH,"CABLE  ASSEMBLY,POWER,ELECTRICAL",2,10/31/14,$653.08 
AVON BY THE SEA POLICE DEPT,MONMOUTH,"CABLE  ASSEMBLY,POWER,ELECTRICAL",1,10/31/14,$326.54 
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,4/30/14,"$67,139.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"SIGHT,REFLEX",20,4/30/14,"$6,800.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,3/31/14,"$75,278.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"CABLE KIT,SPECIAL POWER",2,4/1/14,$792.00 
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"MAGAZINE,CARTRIDGE",50,4/25/14,$499.00 
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,CONTAINER FOR REFRI,1,10/15/14,"$19,547.36 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,LIFT,FORK",1,10/31/14,"$72,370.00 "
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"SIGHT,HOLOGRAPHIC",3,10/16/14,"$1,783.83 "
BELLEVILLE POLICE DEPT,ESSEX,"SIGHT,REFLEX",18,4/14/14,"$6,120.00 "
BELLEVILLE POLICE DEPT,ESSEX,"SIGHT,REFLEX",10,4/14/14,"$3,400.00 "
BELLEVILLE POLICE DEPT,ESSEX,ACOG KIT,2,4/14/14,$366.00 
BELLEVILLE POLICE DEPT,ESSEX,"SIGHT,REFLEX",5,4/14/14,"$1,700.00 "
BELLEVILLE POLICE DEPT,ESSEX,"MEDICAL MATERIEL SET,MINIMAL CARE WARD,DEPLOYABLE MEDICAL SYSTEM",1,4/14/14,"$30,023.12 "
