agency,address,county,item,quantity,date_received,total_cost
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",OCEAN,"TRUCK,CARGO",1,4/30/14,"$67,139.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",OCEAN,"TRUCK,CARGO",1,3/31/14,"$75,278.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",OCEAN,"TRUCK,LIFT,FORK",1,10/31/14,"$72,370.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
