agency,address,county,item,quantity,date_received,total_cost
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,UTILITY",1,2/15/14,"$63,894.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,WRECKER",1,6/3/14,"$168,960.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,WRECKER",1,6/3/14,"$168,960.00 "
CEDAR GROVE POLICE DEPT,"525 Pompton Ave, Cedar Grove, NJ 07009",ESSEX,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
CEDAR GROVE POLICE DEPT,"526 Pompton Ave, Cedar Grove, NJ 07009",ESSEX,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
CEDAR GROVE POLICE DEPT,"527 Pompton Ave, Cedar Grove, NJ 07009",ESSEX,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
CEDAR GROVE POLICE DEPT,"528 Pompton Ave, Cedar Grove, NJ 07009",ESSEX,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CEDAR GROVE POLICE DEPT,"529 Pompton Ave, Cedar Grove, NJ 07009",ESSEX,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CEDAR GROVE POLICE DEPT,"530 Pompton Ave, Cedar Grove, NJ 07009",ESSEX,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CHATHAM TOWNSHIP POLICE DEPT,"401 Southern  Boulevard, Chatham, New Jersey 07928",MORRIS,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHATHAM TOWNSHIP POLICE DEPT,"401 Southern  Boulevard, Chatham, New Jersey 07928",MORRIS,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CHATHAM TOWNSHIP POLICE DEPT,"401 Southern  Boulevard, Chatham, New Jersey 07928",MORRIS,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHATHAM TOWNSHIP POLICE DEPT,"401 Southern  Boulevard, Chatham, New Jersey 07928",MORRIS,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHATHAM TOWNSHIP POLICE DEPT,"401 Southern  Boulevard, Chatham, New Jersey 07928",MORRIS,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHATHAM TOWNSHIP POLICE DEPT,"401 Southern  Boulevard, Chatham, New Jersey 07928",MORRIS,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHERRY HILL POLICE DEPT,"820 Mercer St, Cherry Hill, NJ 08002",CAMDEN,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHERRY HILL POLICE DEPT,"820 Mercer St, Cherry Hill, NJ 08002",CAMDEN,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHERRY HILL POLICE DEPT,"820 Mercer St, Cherry Hill, NJ 08002",CAMDEN,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHERRY HILL POLICE DEPT,"820 Mercer St, Cherry Hill, NJ 08002",CAMDEN,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CHERRY HILL POLICE DEPT,"820 Mercer St, Cherry Hill, NJ 08002",CAMDEN,"TRUCK,LIFT,FORK",1,11/5/14,"$100,010.00 "
CHERRY HILL POLICE DEPT,"820 Mercer St, Cherry Hill, NJ 08002",CAMDEN,"TRUCK,UTILITY",1,9/1/14,"$41,061.00 "
CHESILHURST POLICE DEPT,"201 Grant Ave Waterford Works, NJ 08089",CAMDEN,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
CHESILHURST POLICE DEPT,"201 Grant Ave Waterford Works, NJ 08089",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CHESILHURST POLICE DEPT,"201 Grant Ave Waterford Works, NJ 08089",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CHESILHURST POLICE DEPT,"201 Grant Ave Waterford Works, NJ 08089",CAMDEN,"TRUCK,UTILITY",1,8/27/14,"$47,023.00 "
CHESTER TOWNSHIP POLICE DEPT,"1 Parker Road, Chester NJ 07930",MORRIS,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
CINNAMINSON TOWNSHIP POLICE DEPT,"900 Manor Rd Cinnaminson, NJ 08077",BURLINGTON,"TRUCK,UTILITY",1,4/30/14,"$50,458.00 "
CLAYTON POLICE DEPT,"125 N Delsea Dr, Clayton, NJ 08312",GLOUCESTER,M14 ASSAULT RIFLE,1,4/10/14,$138.00 
CLAYTON POLICE DEPT,"125 N Delsea Dr, Clayton, NJ 08312",GLOUCESTER,M14 ASSAULT RIFLE,1,4/10/14,$138.00 
CLAYTON POLICE DEPT,"125 N Delsea Dr, Clayton, NJ 08312",GLOUCESTER,M14 ASSAULT RIFLE,1,4/10/14,$138.00 
CLINTON POLICE DEPT,"43 Leigh St, Clinton, NJ 08809",GLOUCESTER,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CLINTON POLICE DEPT,"43 Leigh St, Clinton, NJ 08809",GLOUCESTER,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CLINTON POLICE DEPT,"43 Leigh St, Clinton, NJ 08809",GLOUCESTER,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
CLINTON POLICE DEPT,"43 Leigh St, Clinton, NJ 08809",GLOUCESTER,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",UNION,TRUCK TRACTOR,2,8/29/14,"$141,664.00 "
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",UNION,"TRUCK,CARGO",2,8/29/14,"$144,080.00 "
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",UNION,"TRUCK,DUMP",1,9/30/14,"$72,425.00 "
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",UNION,"TRUCK,UTILITY",1,9/3/14,"$49,897.00 "
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",UNION,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",UNION,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",UNION,"TRUCK,VAN",1,8/20/14,"$135,122.00 "
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",MONMOUTH,BINOCULAR,10,10/22/14,"$68,592.00 "
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",MONMOUTH,M14 ASSAULT RIFLE,1,4/18/14,$138.00 
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",MONMOUTH,M16 ASSAULT RIFLE,1,4/18/14,$499.00 
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",MONMOUTH,"TRUCK,CARGO",1,8/29/14,"$67,139.00 "
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",MONMOUTH,"TRUCK,DUMP",1,10/29/14,"$72,425.00 "
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",MONMOUTH,"TRUCK,DUMP",1,11/3/14,"$72,425.00 "
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",MONMOUTH,"TRUCK,UTILITY",1,9/1/14,"$50,458.00 "
DELRAN TOWNSHIP POLICE DEPT,"900 Chester Ave, Delran, NJ 08075",BURLINGTON,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
DELRAN TOWNSHIP POLICE DEPT,"900 Chester Ave, Delran, NJ 08075",BURLINGTON,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
DELRAN TOWNSHIP POLICE DEPT,"900 Chester Ave, Delran, NJ 08075",BURLINGTON,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
DELRAN TOWNSHIP POLICE DEPT,"900 Chester Ave, Delran, NJ 08075",BURLINGTON,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
DENVILLE POLICE DEPT,"1 St Marys Pl, Denville, NJ 07834",MORRIS,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
DENVILLE POLICE DEPT,"1 St Marys Pl, Denville, NJ 07834",MORRIS,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
DENVILLE POLICE DEPT,"1 St Marys Pl, Denville, NJ 07834",MORRIS,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
DENVILLE POLICE DEPT,"1 St Marys Pl, Denville, NJ 07834",MORRIS,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
DUNELLEN POLICE DEPT,"355 North Ave, Dunellen, NJ 08812",MIDDLESEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
DUNELLEN POLICE DEPT,"355 North Ave, Dunellen, NJ 08812",MIDDLESEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
DUNELLEN POLICE DEPT,"355 North Ave, Dunellen, NJ 08812",MIDDLESEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
DUNELLEN POLICE DEPT,"355 North Ave, Dunellen, NJ 08812",MIDDLESEX,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
DUNELLEN POLICE DEPT,"355 North Ave, Dunellen, NJ 08812",MIDDLESEX,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
EAST HANOVER POLICE DEPT,"2 Deforest Ave, East Hanover, NJ 07936",MORRIS,BINOCULAR,8,10/1/14,"$1,535.76 "
EAST HANOVER POLICE DEPT,"2 Deforest Ave, East Hanover, NJ 07936",MORRIS,BINOCULAR,2,10/1/14,$383.94 
EAST HANOVER POLICE DEPT,"2 Deforest Ave, East Hanover, NJ 07936",MORRIS,"SIGHT,HOLOGRAPHIC",15,10/15/14,"$7,281.45 "
EAST HANOVER POLICE DEPT,"2 Deforest Ave, East Hanover, NJ 07936",MORRIS,"SIGHT,REAR",9,9/22/14,$531.90 
EAST HANOVER POLICE DEPT,"2 Deforest Ave, East Hanover, NJ 07936",MORRIS,"SIGHT,REFLEX",15,9/18/14,"$5,865.00 "
EAST HANOVER POLICE DEPT,"2 Deforest Ave, East Hanover, NJ 07936",MORRIS,"SIGHT,TEPESCOPIC 10",2,10/20/14,"$3,338.34 "
EAST WINDSOR TOWNSHIP POLICE DEP,"80 1 Mile Rd, East Windsor, NJ 08520",MERCER,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
EAST WINDSOR TOWNSHIP POLICE DEP,"80 1 Mile Rd, East Windsor, NJ 08520",MERCER,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
EAST WINDSOR TOWNSHIP POLICE DEP,"80 1 Mile Rd, East Windsor, NJ 08520",MERCER,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
EAST WINDSOR TOWNSHIP POLICE DEP,"80 1 Mile Rd, East Windsor, NJ 08520",MERCER,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
EAST WINDSOR TOWNSHIP POLICE DEP,"80 1 Mile Rd, East Windsor, NJ 08520",MERCER,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
EATONTOWN POLICE DEPT,"47 Broad St, Eatontown, NJ 07724",MONMOUTH,"GOGGLES,BALLISTIC",50,2/15/14,"$2,193.00 "
EATONTOWN POLICE DEPT,"47 Broad St, Eatontown, NJ 07724",MONMOUTH,"TRUCK,UTILITY",1,3/10/14,"$50,458.00 "
EATONTOWN POLICE DEPT,"47 Broad St, Eatontown, NJ 07724",MONMOUTH,"TRUCK,UTILITY",1,3/10/14,"$49,897.00 "
EATONTOWN POLICE DEPT,"47 Broad St, Eatontown, NJ 07724",MONMOUTH,"TRUCK,UTILITY",1,3/10/14,"$41,061.00 "
EATONTOWN POLICE DEPT,"47 Broad St, Eatontown, NJ 07724",MONMOUTH,"TRUCK,UTILITY",1,3/10/14,"$41,061.00 "
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/31/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,M14 ASSAULT RIFLE,1,1/29/14,$138.00 
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",UNION,"TRUCK,ARMORED",1,1/29/14,"$65,070.00 "
ENGLEWOOD CLIFFS POLICE DEPARTM,"10 Stephens Terrace, Englewood Cliffs, NJ 07632",BERGEN,M16 ASSAULT RIFLE,1,4/11/14,$499.00 
ENGLEWOOD CLIFFS POLICE DEPARTM,"10 Stephens Terrace, Englewood Cliffs, NJ 07632",BERGEN,M16 ASSAULT RIFLE,1,4/11/14,$499.00 
ENGLEWOOD CLIFFS POLICE DEPARTM,"10 Stephens Terrace, Englewood Cliffs, NJ 07632",BERGEN,M16 ASSAULT RIFLE,1,4/11/14,$499.00 
ENGLEWOOD CLIFFS POLICE DEPARTM,"10 Stephens Terrace, Englewood Cliffs, NJ 07632",BERGEN,M16 ASSAULT RIFLE,1,4/11/14,$499.00 
ENGLEWOOD CLIFFS POLICE DEPARTM,"10 Stephens Terrace, Englewood Cliffs, NJ 07632",BERGEN,M16 ASSAULT RIFLE,1,4/11/14,$499.00 
ESSEX COUNTY SHERIFF DEPT,"115 Clifton Ave, Newark, NJ 07104",ESSEX,"TRUCK,UTILITY",1,4/7/14,"$41,061.00 "
ESSEX COUNTY SHERIFF DEPT,"115 Clifton Ave, Newark, NJ 07104",ESSEX,"TRUCK,UTILITY",1,4/7/14,"$41,061.00 "
ESSEX COUNTY SHERIFF DEPT,"115 Clifton Ave, Newark, NJ 07104",ESSEX,"TRUCK,UTILITY",1,4/7/14,"$41,061.00 "
ESSEX COUNTY SHERIFF DEPT,"115 Clifton Ave, Newark, NJ 07104",ESSEX,"TRUCK,UTILITY",1,4/11/14,"$49,897.00 "
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,4/23/14,$108.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,4/23/14,$108.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,4/23/14,$108.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,4/23/14,$108.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,4/23/14,$108.00 
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,4/23/14,$108.00 
EWING POLICE DEPT,"2 Jake Garzio Dr, Ewing Township, NJ 08628",MERCER,M14 ASSAULT RIFLE,1,4/25/14,$138.00 
EWING POLICE DEPT,"2 Jake Garzio Dr, Ewing Township, NJ 08628",MERCER,M14 ASSAULT RIFLE,1,4/25/14,$138.00 
EWING POLICE DEPT,"2 Jake Garzio Dr, Ewing Township, NJ 08628",MERCER,M14 ASSAULT RIFLE,1,4/25/14,$138.00 
EWING POLICE DEPT,"2 Jake Garzio Dr, Ewing Township, NJ 08628",MERCER,M14 ASSAULT RIFLE,1,4/25/14,$138.00 
EWING POLICE DEPT,"2 Jake Garzio Dr, Ewing Township, NJ 08628",MERCER,M14 ASSAULT RIFLE,1,4/25/14,$138.00 
EWING POLICE DEPT,"2 Jake Garzio Dr, Ewing Township, NJ 08628",MERCER,M14 ASSAULT RIFLE,1,4/25/14,$138.00 
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"BINOCULAR,NIGHT VISION",1,9/26/14,"$8,089.57 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"GOGGLES,BALLISTIC",98,7/28/14,"$4,298.28 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"GOGGLES,INDUSTRIAL",24,8/26/14,"$1,374.72 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"GOGGLES,INDUSTRIAL",76,9/15/14,"$4,800.92 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"SHOTGUN,12 GAGE,RIOT TYPE",1,4/28/14,$108.00 
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"SIGHT,REFLEX",10,7/29/14,"$3,400.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"SIGHT,REFLEX",10,8/26/14,"$3,400.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"SIGHT,REFLEX",20,8/25/14,"$7,820.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"SIGHT,THERMAL",2,9/26/14,"$23,998.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"SIGHT,THERMAL",2,9/26/14,"$30,800.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"SIGHT,THERMAL",2,9/29/14,"$22,600.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"TRUCK,HAND",1,10/17/14,"$6,228.88 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"TRUCK,LIFT,FORK",1,8/27/14,"$72,370.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"TRUCK,LIFT,FORK",1,9/11/14,"$17,444.00 "
FORT LEE POLICE DEPT,"1327 16th St, Fort Lee, NJ 07024",BERGEN,"TRUCK,LIFT,FORK",1,9/11/14,"$23,333.00 "
FREEHOLD BORO POLICE DEPT,"36 Jackson St, Freehold, NJ 07728",MONMOUTH,"GOGGLES,INDUSTRIAL",33,9/25/14,"$1,718.64 "
FREEHOLD BORO POLICE DEPT,"36 Jackson St, Freehold, NJ 07728",MONMOUTH,"GOGGLES,INDUSTRIAL",19,9/26/14,$892.81 
FREEHOLD BORO POLICE DEPT,"36 Jackson St, Freehold, NJ 07728",MONMOUTH,"TRUCK,CARGO",1,9/10/14,"$72,040.00 "
FREEHOLD BORO POLICE DEPT,"36 Jackson St, Freehold, NJ 07728",MONMOUTH,"TRUCK,DUMP",1,10/3/14,"$92,489.00 "
GALLOWAY TOWNSHIP POLICE DEPT,"300 E Jimmie Leeds Rd, Galloway, NJ 08205",ATLANTIC,"TRUCK,CARGO",1,9/26/14,"$67,139.00 "
GALLOWAY TOWNSHIP POLICE DEPT,"300 E Jimmie Leeds Rd, Galloway, NJ 08205",ATLANTIC,"TRUCK,UTILITY",1,9/26/14,"$41,061.00 "
GARFIELD POLICE DEPARTMENT,"411 Midland Ave, Garfield, NJ 07026",BERGEN,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
GARFIELD POLICE DEPARTMENT,"411 Midland Ave, Garfield, NJ 07026",BERGEN,M14 ASSAULT RIFLE,1,4/25/14,$138.00 
GARFIELD POLICE DEPARTMENT,"411 Midland Ave, Garfield, NJ 07026",BERGEN,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
GARFIELD POLICE DEPARTMENT,"411 Midland Ave, Garfield, NJ 07026",BERGEN,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
GARFIELD POLICE DEPARTMENT,"411 Midland Ave, Garfield, NJ 07026",BERGEN,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
GARFIELD POLICE DEPARTMENT,"411 Midland Ave, Garfield, NJ 07026",BERGEN,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
GARWOOD POLICE DEPARTMENT,"403 South Ave, Garwood, NJ 07027",UNION,"SIGHT,REFLEX",8,10/7/14,"$2,720.00 "
GARWOOD POLICE DEPARTMENT,"403 South Ave, Garwood, NJ 07027",UNION,"TRUCK,UTILITY",1,9/5/14,"$41,061.00 "
GARWOOD POLICE DEPARTMENT,"403 South Ave, Garwood, NJ 07027",UNION,"TRUCK,UTILITY",1,9/3/14,"$49,897.00 "
GARWOOD POLICE DEPARTMENT,"403 South Ave, Garwood, NJ 07027",UNION,"TRUCK,VAN",1,9/29/14,"$111,395.00 "
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
