agency,address,latitude,longitude,county,item,quantity,date,cost
ABERDEEN TOWNSHIP POLICE DEPT,"1 Aberdeen Sq, Matawan, NJ 07747",40.406408,-74.225624,MONMOUTH,"GOGGLES,BALLISTIC",40,3/20/14,"$1,754.40 "
ABERDEEN TOWNSHIP POLICE DEPT,"1 Aberdeen Sq, Matawan, NJ 07747",40.406408,-74.225624,MONMOUTH,"TRUCK,UTILITY",1,4/11/14,"$50,458.00 "
ABERDEEN TOWNSHIP POLICE DEPT,"1 Aberdeen Sq, Matawan, NJ 07747",40.406408,-74.225624,MONMOUTH,"TRUCK,UTILITY",1,12/18/13,"$56,762.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,TRUCK TRACTOR,1,8/27/14,"$166,223.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,CARGO",1,8/1/14,"$72,040.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,CARGO",1,8/1/14,"$72,040.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,DUMP",1,8/4/14,"$72,425.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,DUMP",1,8/4/14,"$72,425.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,LIFT,FORK",1,8/21/14,"$72,370.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,UTILITY",1,7/30/14,"$47,023.00 "
