agency,county,item,quantity,cost,date
IRVINGTON TOWNSHIP POLICE DEPARTMENT,ESSEX,PRINTER,2,$480.00,7/25/96
NEWARK POLICE DEPARTMENT,ESSEX,TRACTOR WHEELED WAR,1,"$22,803.57",6/22/07
WEST ORANGE POLICE DEPARTMENT,ESSEX,"SUIT,CHEMICAL PROTE",6,$42.02,11/1/95
WEST ORANGE POLICE DEPARTMENT,ESSEX,"BAG, DUFFEL",2,$15.25,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,"CAN, AMMO",8,$5.00,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,"LINER, PARKA",1,$19.70,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,PARKA,1,$47.25,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,PROTECTIVE SUIT,1,$3.07,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,SHIRT,12,$3.25,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,SHIRT,12,$10.95,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,TROUSER,4,$31.25,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,TROUSER,4,$31.25,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,TROUSER,6,$31.25,5/8/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,SAFE,1,$360.00,8/6/96
WEST ORANGE POLICE DEPARTMENT,ESSEX,"CABINET, PC",1,$630.00,1/21/97
,ESSEX,"TRUCK,ARMORED",1,"$65,070.00",7/26/01
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,7/7/06
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,7/7/06
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,5.56 MILLIMETER",1,$499.00,11/28/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,11/28/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,11/28/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,11/28/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,11/28/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,11/28/08
,ESSEX,"RIFLE,7.62 MILLIMETER",1,$138.00,11/28/08
,ESSEX,"HELICOPTER,OBSERVATION",1,"$92,290.00",2/18/09
,ESSEX,"HELICOPTER,OBSERVATION",1,"$92,290.00",2/18/09
,ESSEX,"TRUCK,UTILITY",1,"$25,000.00",5/4/11
,ESSEX,"TRUCK,UTILITY",1,"$25,000.00",5/4/11
,ESSEX,"TRUCK,UTILITY",1,"$25,000.00",5/4/11
,ESSEX,"TRUCK,CARGO",1,"$48,574.00",9/27/11
,ESSEX,"TRUCK,CARGO",1,"$48,574.00",9/27/11
,ESSEX,"TRUCK,UTILITY",1,"$47,455.00",10/25/11
,ESSEX,"TRUCK,UTILITY",1,"$25,000.00",1/26/12
,ESSEX,"VIEWER KIT,NIGHT VISION",4,"$2,593.01",1/30/13
,ESSEX,"VIEWER,NIGHT VISION",2,"$16,658.81",1/30/13
,ESSEX,"VIEWER,NIGHT VISION",2,"$10,427.10",1/30/13
,ESSEX,"IMAGE INTENSIFIER,NIGHT VISION",5,"$4,331.43",1/31/13
,ESSEX,"SHELF,PIVOT AND ADJUSTMENT",4,$183.13,2/2/13
,ESSEX,"MOUNT,VIEWER",1,$175.87,2/3/13
,ESSEX,"ILLUMINATOR,INFRARED",13,$674.73,2/5/13
,ESSEX,"KIT,TACTICAL TRIPOD",10,"$1,169.00",2/5/13
,ESSEX,"LENS ASSEMBLY,OBJE",2,$243.84,2/5/13
,ESSEX,"SIGHT,BORE,OPTICAL",3,"$2,106.01",2/5/13
,ESSEX,"ILLUMINATOR,INFRARED",2,"$1,614.65",2/7/13
,ESSEX,MAGNIFIER LENS ASSEMBLY,17,$865.32,2/20/13
,ESSEX,"PAN AND TILT ASSEMBLY,THERMAL VIEWER",3,"$70,706.43",2/20/13
,ESSEX,"INTERFACE SYSTEM,RAIL",20,$0.00,2/21/13
,ESSEX,"MOUNT,QUICK RELEASE ASSEMBLY",10,$40.83,2/21/13
,ESSEX,"MOUNT,VIEWER",25,$789.95,2/21/13
,ESSEX,"RESPIRATOR,AIR FILTERING",36,$770.73,2/21/13
,ESSEX,"RESPIRATOR,AIR FILTERING",35,$770.73,2/21/13
,ESSEX,"RESPIRATOR,AIR FILTERING",42,$770.73,2/21/13
,ESSEX,"SIGHT,REFLEX",2,$328.00,2/25/13
,ESSEX,"STRAP CUTTER,RESCUE HOOK",30,$24.51,2/25/13
,ESSEX,"PAD,HELMET,ADVANCED COMBAT",8,$9.16,3/1/13
,ESSEX,"IMAGE INTENSIFIER,NIGHT VISION",3,"$19,362.00",3/4/13
,ESSEX,"SIGHT,HOLOGRAPHIC",6,$270.00,3/6/13
,ESSEX,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",29,$111.16,3/8/13
,ESSEX,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",10,$111.16,3/8/13
,ESSEX,"ILLUMINATOR,INFRARED",15,$0.00,3/8/13
,ESSEX,"MOUNTING LOCKING MECHANISM,GOGGLES,NIGHT VISION",1,"$1,101.45",3/8/13
,ESSEX,"SIGHT,REFLEX",8,$328.00,3/8/13
,ESSEX,"EXTRICATION KIT,RECIPROCATING SAW,RESCUE AND SALVAGING",1,$715.28,3/14/13
,ESSEX,HOOK AND LINE KIT,1,"$3,612.00",3/14/13
,ESSEX,SPAX,12,$122.09,3/14/13
,ESSEX,"RAIL COVER,2 RIB",50,$0.50,3/15/13
,ESSEX,"RAIL COVER,4 RIB",50,$0.38,3/15/13
,ESSEX,"RAIL COVER,6 RIB",50,$0.42,3/15/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"VIEWER,NIGHT VISION",1,"$12,708.00",3/18/13
,ESSEX,"CLEANING KIT,GUN",19,$56.46,3/22/13
,ESSEX,"SIGHT,REFLEX",10,$328.00,3/22/13
,ESSEX,"GOGGLES,BALLISTIC",300,$43.86,3/27/13
,ESSEX,DATASCOPE SYSTEM II,10,$608.83,3/28/13
,ESSEX,"HELMET,EXPLOSIVE ORDNANCE DISPOSAL",18,"$8,424.00",3/28/13
,ESSEX,"MOUNT,SIGHT,SMALL ARMS",3,$300.30,3/28/13
,ESSEX,BIPOD ADAPTER ASSEMBLY,8,$39.56,3/29/13
,ESSEX,OPTICAL SIGHTING AND RANGING EQUIPMENT,1,$175.00,3/29/13
,ESSEX,ROPE EDGE GUARD,4,$21.88,4/1/13
,ESSEX,"HELMET,WELDER'S",1,$57.81,4/11/13
,ESSEX,TACTICAL WEAPONLIGH,9,$0.00,4/11/13
,ESSEX,"KIT,PERCUSSIVE RESCUE TOOL",1,$0.00,4/12/13
,ESSEX,"ILLUMINATOR,INFRARED",10,"$7,786.31",4/17/13
,ESSEX,"LANYARD,SAFETY,INDUSTRIAL",25,$0.00,4/17/13
,ESSEX,"SIGHT,REFLEX",11,$400.00,4/17/13
,ESSEX,"ILLUMINATOR,INFRARED",5,"$1,031.86",5/10/13
,ESSEX,"IMAGE INTENSIFIER,NIGHT VISION",6,"$19,362.00",5/10/13
,ESSEX,"SIGHT,REFLEX",18,$328.00,5/24/13
,ESSEX,"SIGHT,REFLEX",5,$328.00,6/17/13
,ESSEX,"RESCUE HOOK,SURVIVAL",150,$29.60,6/25/13
,ESSEX,"SHELF,PIVOT AND ADJUSTMENT",8,$183.13,7/11/13
,ESSEX,ACOG KIT,2,$177.00,7/18/13
,ESSEX,"TRUCK,CARGO",1,"$67,139.00",7/18/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"RANGE FINDER,LASER",1,"$20,501.00",7/30/13
,ESSEX,"MOUNT,VIEWER",7,$266.00,8/1/13
,ESSEX,"MOUNT,GUN",4,$308.17,8/7/13
,ESSEX,"DRIVER,PROJECTILE,EXPLOSIVE ORDNANCE DISPOSAL",1,"$2,000.00",8/16/13
,ESSEX,"VIEWER,NIGHT VISION",3,"$20,852.37",8/23/13
,ESSEX,"SLING,SMALL ARMS",8,$19.89,8/25/13
,ESSEX,"SIGHT,REFLEX",10,$328.00,8/26/13
,ESSEX,"ILLUMINATOR,INFRARED",6,"$2,216.02",9/5/13
,ESSEX,CLOSE QUARTERS BATT,5,$0.00,9/6/13
,ESSEX,"MOUNT,NVG,1 HOLE",10,$341.90,9/6/13
,ESSEX,"DRIVER,PROJECTILE,EXPLOSIVE ORDNANCE DISPOSAL",2,"$2,000.00",9/20/13
,ESSEX,MK3MOD0,1,"$181,022.00",9/25/13
,ESSEX,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,"$10,000.00",10/1/13
,ESSEX,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,"$10,000.00",10/1/13
,ESSEX,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,"$10,000.00",10/1/13
,ESSEX,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,"$10,000.00",10/1/13
,ESSEX,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,"$10,000.00",10/1/13
,ESSEX,"SLING,SMALL ARMS",63,$21.67,10/7/13
,ESSEX,"ILLUMINATOR,INFRARED",44,"$1,800.00",10/31/13
,ESSEX,CAMERA IR PTZ,4,"$20,000.00",11/6/13
,ESSEX,MK3MOD0,1,"$177,447.00",11/6/13
,ESSEX,"TELESCOPE,STRAIGHT",115,"$2,577.49",11/6/13
,ESSEX,MK3MOD0,1,"$177,447.00",11/13/13
,ESSEX,"SIGHT,REFLEX",8,$328.00,11/13/13
,ESSEX,"TRIPOD,TELESCOPE",101,$141.27,11/14/13
,ESSEX,"RACK,STORAGE,SMALL ARMS",12,$448.22,11/15/13
,ESSEX,"BELT,SAFETY,INDUSTRIAL",10,$130.33,11/26/13
,ESSEX,"LADDER,TACTICAL ASSAULT",12,"$1,165.03",11/26/13
,ESSEX,NIGHT VISION GOGGLE,7,$0.00,11/26/13
,ESSEX,"SIGHT,REFLEX",1,$437.00,11/29/13
,ESSEX,"MOUNTING KIT,HOLSTER",89,$0.00,12/3/13
,ESSEX,"TELESCOPE,ARTICULATED",8,$800.00,12/4/13
,ESSEX,ONE AND THREE HOLE UNIVERSAL INTERFACE,7,$132.50,12/5/13
,ESSEX,"ILLUMINATOR,INFRARED",25,"$1,800.00",12/10/13
,ESSEX,"ILLUMINATOR,INTEGRATED,SMALL ARMS",126,$350.00,12/10/13
,ESSEX,"SLING,SMALL ARMS",50,$22.62,12/18/13
,ESSEX,"VIEWER KIT,NIGHT VISION",44,"$4,895.00",12/20/13
,ESSEX,"SIGHT,UNS,AN,PVS22",10,"$8,100.00",12/23/13
,ESSEX,"SLING,SMALL ARMS",34,$22.62,12/27/13
,ESSEX,"MODIFICATION KIT,NIGHT VISION EQUIPMENT",12,$542.40,1/3/14
,ESSEX,"SIGHT,THERMAL",15,"$17,591.00",1/10/14
,ESSEX,"VIEWER,NIGHT VISION",1,"$10,179.75",1/16/14
,ESSEX,"VIEWER,NIGHT VISION",1,"$10,179.75",1/17/14
,ESSEX,"VIEWER,NIGHT VISION",1,"$10,179.75",1/17/14
,ESSEX,"SIGHT,REFLEX",50,$586.80,2/1/14
,ESSEX,"SIGHT,REFLEX",10,$586.80,2/1/14
,ESSEX,"LIGHT,SIGNAL",300,$162.31,2/10/14
,ESSEX,"RANGE FINDER,LASER",18,$400.00,2/20/14
,ESSEX,THERMAL IMAGING SYSTEM,10,$0.00,2/20/14
,ESSEX,THERMAL IMAGING SYSTEM,10,$0.00,2/20/14
,ESSEX,"LIGHT AIMING KIT,INFRARED",27,$545.69,2/26/14
,ESSEX,"HELMET,GROUND TROOP",9,$150.29,5/31/95
,ESSEX,"HELMET,GROUND TROOP",7,$150.29,10/24/95
,ESSEX,VEST,10,$42.30,10/24/95
,ESSEX,"HELMET,GROUND TROOP",12,$148.87,11/7/95
,ESSEX,BODY ARMOR,6,$367.10,12/18/95
,ESSEX,HELMET GROUND TROOP,25,$129.19,10/27/99
,ESSEX,"HELMET,GROUND TROOP",18,$150.29,1/12/00
,ESSEX,"HELMET,GROUND TROOP",20,$150.29,1/12/00
,ESSEX,"HELMET,GROUND TROOP",6,$150.29,1/19/00
,ESSEX,"HELMET,GROUND TROOP",20,$150.29,1/19/00
,ESSEX,"MASK,CHEMICAL-BIOLO",70,$93.32,1/19/00
,ESSEX,"HELMET,GROUND TROOP",3,$150.29,1/24/00
,ESSEX,"HELMET,GROUND TROOP",9,$150.29,1/24/00
,ESSEX,"MASK,CHEMICAL-BIOLO",3,$93.32,2/3/00
,ESSEX,BINOCULAR          ,3,$342.00,2/7/00
,ESSEX,BINOCULAR          ,9,$342.00,2/7/00
,ESSEX,"MASK,CHEMICAL-BIOLO",40,$93.32,2/7/00
,ESSEX,"BODY ARMOR,SMALL AR",6,$781.58,3/13/00
,ESSEX,"FILTER ELEMENT SET,",200,$20.74,3/16/00
,ESSEX,"INSERT,SMALL ARMS P",2,$439.96,3/22/00
,ESSEX,TRUCK CARGO,1,"$4,202.00",1/8/07
,ESSEX,TRUCK CARGO,1,"$4,202.00",1/16/07
,ESSEX,"TRUCK,CARGO        ",1,"$70,613.00",5/10/11
,ESSEX,"TRUCK,CARGO        ",1,"$67,139.00",11/17/11
,ESSEX,"TRUCK,CARGO        ",1,"$70,613.00",1/31/12
,ESSEX,"TRUCK,CARGO        ",1,"$70,613.00",1/31/12
ATF FAIRFIELD,ESSEX ,"COAT, ALL-WEATHER",2,$73.95,10/10/96
ATF FAIRFIELD,ESSEX ,RAIN COAT,4,$181.80,10/10/96
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"CHEST,AMMUNITION",40,$11.10,5/22/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,"$20,810.00",5/22/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"CONTROL,RUST KT",1,"$6,328.51",6/17/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"RIVET,BLIND",2,$60.55,6/17/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"TOOL KIT,GENERAL MECHANIC'S",2,"$1,010.86",6/17/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"TOOL KIT,REPAIRMAN'S,SMALL ARMS",1,$956.00,6/17/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"WATER PUMP,ELECTRIC",2,$0.00,6/17/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,PALLET JACK,1,$200.00,6/24/13
BELLEVILLE POLICE DEPARTMENT,ESSEX ,"MEDICAL MATERIEL SET,MINIMAL CARE WARD,DEPLOYABLE MEDICAL SYSTEM",1,"$30,023.12",12/19/13
BLOOMFIELD POLICE DEPARTMENT,ESSEX ,AMMO BOX,5,$10.00,12/18/95
CALDWELL POLICE DEPARTMENT,ESSEX ,PONCHO LINER,5,$20.00,10/31/95
CALDWELL POLICE DEPARTMENT,ESSEX ,PONCHO LOT,15,$8.20,10/31/95
CALDWELL POLICE DEPARTMENT,ESSEX ,BOX METAL,5,$6.40,10/31/96
CALDWELL POLICE DEPARTMENT,ESSEX ,MISC BOOTS (BATCH),9,$32.00,11/1/96
CEDAR GROVE POLICE DEPARTMENT,ESSEX ,MASK CHEMICAL,16,$93.00,4/18/95
CEDAR GROVE POLICE DEPARTMENT,ESSEX ,TYPEWRITER,2,$727.00,6/30/95
CEDAR GROVE POLICE DEPARTMENT,ESSEX ,PACK FRAME,5,$22.00,9/13/95
CEDAR GROVE POLICE DEPARTMENT,ESSEX ,"CAP,COLD WEATHER",6,$9.40,3/13/96
CEDAR GROVE POLICE DEPARTMENT,ESSEX ,CABINET,1,$20.00,5/10/96
DEA NEWARK,ESSEX ,TENT,2,$500.00,10/25/95
DEA NEWARK,ESSEX ,"HAT, DRILL",50,$51.05,8/5/96
DEA NEWARK,ESSEX ,PROJECTOR,6,$420.00,8/5/96
DEPARTMENTFORD POLICE DEPARTMENT,GLOUCESTER,"CLOTHING, SHIRTS",37,$34.00,6/10/98
DEPARTMENTFORD POLICE DEPARTMENT,GLOUCESTER,"SHOES, BOOTS",19,$100.00,6/10/98
DEPARTMENTFORD POLICE DEPARTMENT,GLOUCESTER,"TROUSERS, MULTI PURPOSE",47,$23.35,6/10/98
DEPARTMENTFORD POLICE DEPARTMENT,GLOUCESTER,AMMO CANS,100,$2.00,6/13/01
DEPARTMENTFORD POLICE DEPARTMENT,GLOUCESTER,"SPONGE, SURGICAL",10,$96.92,6/13/01
GLOUCESTER CO PROSECUTOR,GLOUCESTER,OSCILLOSCOPE       ,1,"$3,168.94",6/27/95
GLOUCESTER CO PROSECUTOR,GLOUCESTER,COPIER,1,"$2,754.80",8/3/95
GLOUCESTER CO PROSECUTOR,GLOUCESTER,MONITOR,1,$700.00,8/3/95
HARRISON TOWNSHIP POLICE DEPARTMENT,GLOUCESTER,CLOTHING,12,$50.00,8/22/96
PITMAN POLICE DEPARTMENT,GLOUCESTER,MOTOR,1,$519.00,8/22/96
WOOLWICH TOWNSHIP POLICE DEPARTMENT,GLOUCESTER,1989 CHEVY CELEBRITY,1,"$7,090.00",10/16/97
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,8/25/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,8/25/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,8/25/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,GLOUCESTER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/17/08
,GLOUCESTER,"TRUCK,UTILITY",1,"$25,000.00",3/1/12
,GLOUCESTER,"MASK,CHEMICAL-BIOLO",2,$93.32,7/31/95
,GLOUCESTER,"MASK,CHEMICAL-BIOLO",3,$93.32,7/31/95
,GLOUCESTER,"HELMET,GROUND TROOP",10,$150.29,8/3/95
,GLOUCESTER,"HELMET,GROUND TROOP",10,$150.29,8/5/95
,GLOUCESTER,"HELMET,GROUND TROOP",12,$148.87,10/3/95
,GLOUCESTER,"HELMET,GROUND TROOP",70,$150.29,8/27/96
,GLOUCESTER,"HELMET,GROUND TROOP",70,$150.29,8/27/96
,GLOUCESTER,"HELMET,GROUND TROOP",70,$150.29,8/27/96
,GLOUCESTER,"HELMET,GROUND TROOP",6,$150.29,1/17/97
,GLOUCESTER,"HELMET,GROUND TROOP",2,$148.87,3/25/98
,GLOUCESTER,"FILTER ELEMENT SET,",20,$20.42,5/4/98
BAYONNE POLICE  DEPARTMENT,HUDSON,CPU,1,"$1,658.00",9/22/95
BAYONNE POLICE  DEPARTMENT,HUDSON,MONITOR,9,$350.00,9/22/95
HARRISON POLICE DEPARTMENT,HUDSON,GENERATOR SET,1,"$17,390.00",5/9/97
HOBOKEN POLICE DEPARTMENT,HUDSON,RADIO SET CONTROL G,2,$819.00,10/30/98
JERSEY CITY POLICE DEPARTMENT,HUDSON,DODGE VAN,1,"$10,758.00",1/8/97
JERSEY CITY POLICE DEPARTMENT,HUDSON,"DEMOLITION SET,EXPL",2,"$1,901.00",3/30/98
JERSEY CITY POLICE DEPARTMENT,HUDSON,"DEMOLITION SET,EXPL",2,"$1,901.00",3/30/98
JERSEY CITY POLICE DEPARTMENT,HUDSON,"FOOTWEAR COVERS,CHE",20,$6.81,4/6/98
JERSEY CITY POLICE DEPARTMENT,HUDSON,"GLOVE SET,CHEMICAL ",4,$23.00,4/6/98
JERSEY CITY POLICE DEPARTMENT,HUDSON,SUIT CHEM PROTECT,31,$1.00,4/6/98
KEARNY POLICE DEPARTMENT,HUDSON,TYPEWRITER,2,$250.00,7/13/95
WATERFRONT COMM NY HARBOR,HUDSON,FAX MACHINE,1,"$1,900.00",2/10/95
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
