agency,county,item,quantity,cost,date
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"GOGGLES,BALLISTIC",20,$43.86,9/6/13
,ATLANTIC,"SPECTACLE KIT,INTERCHANGABLE COMPONENT EYESHIELD",15,$52.11,9/6/13
,ATLANTIC,"BODY ARMOR,FRAGMENT",25,$350.57,11/7/94
,ATLANTIC,NIGHT VISION DEVICE,1,"$4,105.00",11/17/94
,ATLANTIC,BINOCULAR          ,4,$342.00,1/25/95
,ATLANTIC,"HELMET,GROUND TROOP",10,$150.29,1/25/95
,ATLANTIC,"BODY ARMOR,FRAGMENT",15,$203.92,3/20/95
,ATLANTIC,"BODY ARMOR,FRAGMENT",15,$35.92,3/20/95
,ATLANTIC,"HELMET,GROUND TROOP",25,$150.29,3/20/95
,ATLANTIC,"HELMET,GROUND TROOP",20,$150.29,3/29/95
,ATLANTIC,"BODY ARMOR,FRAGMENT",6,$35.92,4/17/95
,ATLANTIC,"HELMET,GROUND TROOP",29,$150.29,2/16/96
,ATLANTIC,BODY ARMOR,6,$645.00,4/11/96
,ATLANTIC,BAYONET,12,$16.21,5/21/97
,ATLANTIC,"RACK, STORAGE, SMALL ARMS",2,$236.00,5/30/97
,ATLANTIC,"TRUCK, CARGO",1,"$17,554.00",6/10/97
,ATLANTIC,"BODY ARMOR,FRAGMENT",10,$27.30,5/27/99
,ATLANTIC,"HELMET,GROUND TROOP",6,$150.29,6/17/99
ATLANTIC CO DEPARTMENT OF PUBLIC SAFETY,ATLANTIC ,FILM,1,$427.00,3/13/95
ATLANTIC CO DEPARTMENT OF PUBLIC SAFETY,ATLANTIC ,"BAG,PLASTIC        ",700,$1.00,3/20/95
ATLANTIC CO DEPARTMENT OF PUBLIC SAFETY,ATLANTIC ,FILE CABINET,1,"$1,509.00",3/20/95
BUENA BOROUGH POLICE DEPARTMENT,ATLANTIC ,ANALYZER,2,"$1,296.00",4/18/95
BUENA BOROUGH POLICE DEPARTMENT,ATLANTIC ,ANTENNA            ,1,$807.28,9/11/96
BERGEN CO PROS OFFICE,BERGEN,FIELD PACK,1,$341.36,8/14/96
BERGEN CO PROS OFFICE,BERGEN,"JACKET, GORTEX",6,$121.95,8/14/96
